Symbol,Count
MSFT,844
VRSK,843
ADBE,841
INTU,840
RMD,838
CMS,834
TEAM,834
AJG,833
WEC,833
CRL,832
IDXX,832
ISRG,830
MAA,830
PLD,830
ACN,828
FTNT,828
AEE,826
CDNS,826
ED,825
XEL,825
PAYX,823
UDR,822
AVB,821
SO,821
TXN,821
COST,820
ALGN,819
BAX,819
MMC,819
PSA,819
ADP,818
MCO,818
ASML,816
EXR,816
IT,816
CRM,815
PKI,815
SYK,815
ADSK,814
EFX,814
EPAM,814
ESS,814
ETR,814
ATO,813
MPWR,813
RJF,813
TFX,813
AWK,812
CPRT,812
SNPS,812
CTAS,811
FFIV,811
DHR,810
GOOG,810
NEE,810
ABC,808
ABMD,808
ADI,808
CPT,808
DE,808
FE,808
LNT,808
PGR,808
ELV,807
PEAK,807
ALB,806
AON,806
MKC,806
NOW,806
VRTX,806
ABT,805
AEP,805
AME,804
EW,804
ROP,804
AVGO,803
EQIX,803
EQR,803
FISV,803
ILMN,803
IRM,803
MTD,803
SBAC,803
BDX,802
EIX,802
JKHY,802
PAYC,802
ARE,801
CLX,801
FAST,801
PEP,801
PTC,801
TROW,801
UHS,801
WST,801
DXCM,800
ES,800
LLY,800
PEG,800
TYL,800
DUK,799
HD,799
MA,799
NOC,799
WDAY,799
AKAM,797
CDW,797
LYV,797
NDSN,797
SPGI,797
VTR,797
DTE,796
TDY,796
TRV,796
STX,795
AAPL,794
CSGP,794
MAR,794
MSCI,794
PCAR,794
PG,794
PYPL,794
RHI,794
ABBV,793
EXC,793
NVDA,793
PNW,793
TDG,793
EXPD,792
GOOGL,792
LDOS,792
NDAQ,792
WELL,792
CCI,791
EVRG,791
GRMN,791
ITW,791
ON,791
ANET,790
ODFL,790
TRMB,790
ANSS,789
APH,789
FDS,789
HRL,789
MKTX,789
NI,789
TMO,789
V,789
AMT,788
CTSH,788
ETSY,788
BR,787
DLR,787
FIS,787
FRC,787
HSY,787
MELI,787
WAT,787
XYL,787
BSX,786
CB,786
CMCSA,786
CNC,786
COO,786
CTLT,786
KEYS,786
MOH,786
SPLK,786
CAT,785
GIS,785
NKE,785
WAB,785
WRB,785
CINF,784
JNJ,784
PPL,784
SWKS,784
TECH,784
TER,784
APTV,783
CNP,783
KHC,783
KLAC,783
POOL,783
UNH,783
D,782
EMR,782
ETN,782
J,782
PFG,782
VRSN,782
GPC,781
LH,781
ROL,781
TEL,781
APD,780
BIO,780
DVA,780
HOLX,780
LHX,780
OKE,780
RTX,780
SHW,780
SJM,780
ZBRA,780
ACGL,779
DGX,779
DOV,779
IQV,779
MCK,779
MSI,779
PNR,779
SPG,779
CBRE,778
DG,778
IEX,778
PWR,778
WTW,778
AZO,777
CHRW,777
CSCO,777
LULU,777
SEDG,777
SGEN,777
A,776
AAP,776
AVY,776
CZR,776
STE,776
TT,776
XRAY,776
CPB,775
DHI,775
DRI,775
HWM,775
ICE,775
IFF,775
SRE,775
UPS,775
AFL,774
CBOE,774
EL,774
GL,774
O,774
RSG,774
SBUX,774
SIVB,774
SNA,774
AES,773
BXP,773
CME,773
EA,773
JBHT,773
META,773
MNST,773
NFLX,773
SCHW,773
WM,773
BRO,772
KDP,772
SWK,772
YUM,772
ADM,771
FRT,771
HON,771
MU,771
RE,771
ATVI,770
BBY,770
ENPH,770
HSIC,770
MCHP,770
NRG,770
RL,770
TSLA,770
TXT,770
AMAT,769
ORLY,769
EMN,768
EXPE,768
GD,768
HPQ,768
MMM,768
OMC,768
BALL,767
PCG,767
PH,767
TRGP,767
ZTS,767
CHD,766
K,766
NWSA,766
PXD,766
TTWO,766
URI,766
CHTR,765
CMG,765
HLT,765
PHM,765
HES,764
INCY,764
LRCX,764
MTB,764
PM,764
AMZN,763
AOS,763
BK,763
BLK,763
HAS,763
HUM,763
KMB,763
WBD,763
AMP,762
CI,762
CL,762
GWW,762
HIG,762
KIM,762
PANW,762
PPG,762
ALLE,761
CAH,761
CSX,761
GEN,761
GNRC,761
LIN,761
MDT,761
NTRS,761
REG,761
ROST,761
STZ,761
WMB,761
ALL,760
CF,760
DPZ,760
FCX,760
KMX,760
KO,760
MCD,760
USB,760
WY,760
AMD,759
AXP,759
CFG,759
CVS,759
FTV,759
PFE,759
TSCO,759
UNP,759
BAC,758
MTCH,758
NVR,758
ECL,757
GS,757
LKQ,757
VLO,757
JCI,756
LW,756
MO,756
TFC,756
TMUS,756
CE,755
DFS,755
JNPR,755
MDLZ,755
MS,755
NTAP,755
TPR,755
BBWI,754
DLTR,754
INTC,754
NEM,754
NTES,754
NXPI,754
ULTA,754
VNO,754
COF,753
DVN,753
FMC,753
GM,753
HBAN,753
HII,753
HPE,753
MPC,753
MRK,753
NCLH,753
ROK,753
SYY,753
CVX,752
LMT,752
LOW,752
MOS,752
CMI,751
DIS,751
L,751
PARA,751
QRVO,751
REGN,751
AIZ,750
BMY,750
GILD,750
MGM,750
GLW,749
IPG,749
PNC,749
RCL,749
WHR,749
FBHS,748
NWS,748
PKG,748
TJX,748
ZBH,748
HCA,747
AZN,746
CAG,746
FITB,746
STT,746
BKNG,745
FLT,745
GPN,745
IP,745
KMI,745
MET,745
VFC,745
EBAY,744
ZION,744
NSC,743
PSX,743
TGT,743
DXC,742
MRVL,742
WMT,742
LEN,741
SEE,741
KEY,740
WYNN,740
BWA,739
MLM,739
XOM,739
DAL,738
LYB,738
FANG,737
RF,737
TAP,737
WFC,737
HST,736
JPM,736
NUE,736
SBNY,736
IBM,735
LVS,735
PRU,735
EOG,734
WDC,734
APA,733
BA,732
BEN,732
CTRA,732
MAS,732
ORCL,732
MRO,731
AIG,730
IVZ,730
JD,730
T,730
VMC,730
EQT,729
MHK,729
VZ,729
BKR,728
CCL,728
COP,728
DISH,728
FDX,728
TSN,728
WRK,728
QCOM,726
SYF,726
ALK,725
KR,725
CMA,724
HAL,724
NWL,723
DD,722
WBA,722
C,721
OXY,721
SLB,720
GE,719
BIIB,718
LNC,713
VTRS,713
SIRI,712
BIDU,711
F,710
LUMN,709
LUV,707
UAL,704
AAL,701
AMCR,451
